,County,CST,DEM,LIB,REP,Asian,Biracial,Black,Indian American,Other,Undesignated,White,DorR
0,ALAMANCE,282,41979,756,42918,0.008235971844677671,0.007254856073016616,0.19710525842049362,0.002484293146591298,0.024842931465912977,0.11277430736826946,0.6473023816810384,R
1,ALEXANDER,75,4980,152,14980,0.005927824728641807,0.001762326270677294,0.03756959186125686,0.0014819561821604519,0.01001321744703008,0.0767012456442504,0.8665438378659831,R
2,ALLEGHANY,23,1929,47,4085,0.000655307994757536,0.0020969855832241153,0.009960681520314547,0.0010484927916120576,0.00943643512450852,0.09226736566186107,0.8845347313237222,R
3,ANSON,38,6116,75,4977,0.004601135345085151,0.001434120107559008,0.4073498655512399,0.0016731401254855094,0.00717060053779504,0.17693456827009263,0.40083657006274276,D
4,ASHE,60,4967,128,10622,0.002043944813490036,0.001021972406745018,0.005620848237097598,0.0012263668880940215,0.006438426162493613,0.07235564639754727,0.9112927950945324,R
5,AVERY,26,2407,90,6894,0.0014502094747019013,0.002336448598130841,0.0058814050918466,0.001530776667740896,0.006445375443119562,0.08773767321946503,0.8946181115049952,R
6,BEAUFORT,79,10291,152,15710,0.001231599319687995,0.0027271127793091314,0.2276112837956718,0.0011729517330361856,0.013958125623130608,0.07319218814145798,0.6801067386077063,R
7,BERTIE,13,6080,41,3654,0.002542626383487885,0.001944361352078971,0.5836823212683219,0.0014208794495961712,0.004113072090936285,0.060200418785521986,0.34609632067005686,D
8,BLADEN,48,7784,105,9096,0.0009535780850418274,0.004117723549044255,0.35017987950240564,0.01785791686532877,0.01586407177842313,0.05457067313943912,0.5564561570803173,R
9,BRUNSWICK,410,36818,850,51703,0.003079840961884793,0.0025056333249232213,0.07534300206192743,0.0030015399204809425,0.011597254243481438,0.10357487754587136,0.8008978519414308,R
10,BUNCOMBE,622,99395,2272,58153,0.006191085991584745,0.006205528649418924,0.05213318056210824,0.001848660202774916,0.020301562695577657,0.09873000895444786,0.8145899729440876,D
11,BURKE,169,15028,364,28898,0.015173311412522263,0.002346211809836964,0.05519591724893821,0.0015413070283600493,0.017930538429921906,0.07516440608302508,0.8326483079873955,R
12,CABARRUS,506,54665,1484,59682,0.016707251531055716,0.005765925965245201,0.1824593764306994,0.002448362118728975,0.027993603736903915,0.13145514985435894,0.6331703303630078,R
13,CALDWELL,145,11926,368,30234,0.003265946577142023,0.0027185812290176615,0.04979200116771274,0.0012406947890818859,0.012936067727339075,0.07312801050941468,0.856918698000292,R
14,CAMDEN,26,1600,87,4200,0.004521016617790812,0.002565982404692082,0.11852394916911047,0.0013440860215053765,0.013807429130009775,0.06317204301075269,0.7960654936461388,R
15,CARTERET,154,13293,388,28689,0.0043188289476198665,0.0029238089778134495,0.042748762636396646,0.0017007777714078236,0.008007032429436832,0.0908482868008179,0.8494525024365075,R
16,CASWELL,32,5285,69,6634,0.0014825319066649478,0.0032228954492716255,0.3124274848523914,0.0014180739976795153,0.008895191439989687,0.07535129560397061,0.5972025267500323,R
17,CATAWBA,351,28267,828,53802,0.019704433497536946,0.003806955261395639,0.08298245131225289,0.0011650200438487858,0.028978726917467043,0.08855069671867977,0.774811716248819,R
18,CHATHAM,115,28128,364,19937,0.012543722108310215,0.0049278908282647275,0.10451953064424419,0.0021537984389268915,0.022072126402122784,0.13284628771301066,0.7209366438651206,D
19,CHEROKEE,59,3772,171,12349,0.003524073829346725,0.0018060878375401965,0.010396017796572838,0.00585877274128893,0.007356504118761288,0.0404827981146205,0.9305757455618695,R
20,CHOWAN,15,3399,43,4308,0.0018368136117556072,0.002223511214230472,0.2965970610982212,0.001160092807424594,0.0075406032482598605,0.05868136117556071,0.6319605568445475,R
21,CLAY,34,1761,69,4994,0.00120415982484948,0.0010946907498631637,0.004707170224411604,0.001751505199781062,0.005473453749315818,0.0548440065681445,0.9309250136836343,R
22,CLEVELAND,145,18549,399,32031,0.003787432209384579,0.003816906390002358,0.20217814194765385,0.001429497759962273,0.010610705022400376,0.08719936335769865,0.6909779533128979,R
23,COLUMBUS,84,10309,139,15713,0.001481242088820662,0.0026931674342193855,0.29277423177398937,0.025908270717190488,0.011419029921090194,0.06345102475020872,0.6022730333144811,R
24,CRAVEN,222,22436,584,29614,0.013670726872547813,0.005044498215970143,0.20311965987231542,0.002324023568333128,0.023294918590821473,0.07361686420866997,0.678929308671342,R
25,CUMBERLAND,850,88278,2168,55197,0.014543648526296358,0.01213069505366514,0.3916456430586932,0.010618753351324268,0.0509621047634954,0.11805891298423889,0.40204024226228674,D
26,CURRITUCK,95,4382,255,11293,0.0025621082490735235,0.0037516585075719447,0.050418630187125404,0.002196092784920163,0.013771331838770188,0.06336642723155053,0.8639337512009883,R
27,DARE,94,10485,290,13151,0.0031099053794746245,0.002183550585588566,0.01760074108383511,0.0012241116919208628,0.012505789717461788,0.07271885132005558,0.8906570502216634,R
